nome,grupo_muscular_principal,equipamento,dificuldade,gif_url,publico
Dumbbell Incline Hammer Curl,biceps,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/dumbbell-incline-hammer-curl.gif,true
Dumbbell Jefferson Curl,biceps,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/dumbbell-jefferson-curl.gif,true
Dumbbell Preacher Curl,biceps,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/dumbbell-preacher-curl.gif,true
Dumbbell Reverse Curl,biceps,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/dumbbell-reverse-curl.gif,true
Dumbbell Seated Zottman Curl,biceps,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/dumbbell-seated-zottman-curl.gif,true
Dumbbell Wrist Curl,biceps,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/dumbbell-wrist-curl.gif,true
Ez Bar Bicep Curl,biceps,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/ez-bar-bicep-curl.gif,true
Ez Bar Preacher Curl,biceps,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/ez-bar-preacher-curl.gif,true
Incline Dumbbell Curl,biceps,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/incline-dumbbell-curl.gif,true
Overhead Cable Curl,biceps,polia,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/overhead-cable-curl.gif,true
Prone Incline Dumbbell Curl,biceps,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/prone-incline-dumbbell-curl.gif,true
Rosca Agachado,biceps,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/rosca-agachado.gif,true
Rosca Alta Unilateral,biceps,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/rosca-alta-unilateral.gif,true
Rosca Alternada,biceps,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/rosca-alternada.gif,true
Rosca Alternada Aparelho Biarticular,biceps,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/rosca-alternada-aparelho-biarticular.gif,true
Rosca Alternada Maquina,biceps,maquina,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/rosca-alternada-maquina.gif,true
Rosca Alternada com Giro,biceps,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/rosca-alternada-com-giro.gif,true
Rosca Alternada no Banco Inclinado,biceps,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/rosca-alternada-no-banco-inclinado.gif,true
Rosca Alternada pegada Neutra,biceps,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/rosca-alternada-pegada-neutra.gif,true
Rosca Alternada pegada Neutra Sentado no Banco,biceps,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/rosca-alternada-pegada-neutra-sentado-no-banco.gif,true
Rosca Apoio Banco,biceps,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/rosca-apoio-banco.gif,true
Rosca Apoio no Banco,biceps,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/rosca-apoio-no-banco.gif,true
Rosca Biceps Diagonal,biceps,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/rosca-biceps-diagonal.gif,true
Rosca Biceps no Cabo,biceps,polia,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/rosca-biceps-no-cabo.gif,true
Rosca Cabo,biceps,polia,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/rosca-cabo.gif,true
Rosca Concentrada,biceps,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/rosca-concentrada.gif,true
Rosca Concentrada Feminino,biceps,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/rosca-concentrada-feminino.gif,true
Rosca Concentrada Masculino,biceps,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/rosca-concentrada-masculino.gif,true
Rosca Consentrada Unilateral no Banco Declinado,biceps,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/rosca-consentrada-unilateral-no-banco-declinado.gif,true
Rosca Deitado no Banco Inclinado,biceps,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/rosca-deitado-no-banco-inclinado.gif,true
Rosca Dierata pegada Invertida Barra W,biceps,barra,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/rosca-dierata-pegada-invertida-barra-w.gif,true
Rosca Dierta pegada Aberta,biceps,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/rosca-dierta-pegada-aberta.gif,true
Rosca Dierta pegada Fechada,biceps,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/rosca-dierta-pegada-fechada.gif,true
Rosca Direta,biceps,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/rosca-direta.gif,true
Rosca Direta Apaiada no Banco Barra W,biceps,barra,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/rosca-direta-apaiada-no-banco-barra-w.gif,true
Rosca Direta Apoio Braquial,biceps,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/rosca-direta-apoio-braquial.gif,true
Rosca Direta Barra W,biceps,barra,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/rosca-direta-barra-w.gif,true
Rosca Direta Barra W Sentado Banco,biceps,barra,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/rosca-direta-barra-w-sentado-banco.gif,true
Rosca Direta Barra pegada Fechada Sentado no Banco,biceps,barra,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/rosca-direta-barra-pegada-fechada-sentado-no-banco.gif,true
Rosca Direta Curta,biceps,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/rosca-direta-curta.gif,true
Rosca Direta Deitado no Banco Reto no Cross,biceps,halteres,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/rosca-direta-deitado-no-banco-reto-no-cross.gif,true
